"UA1","UA2","UA3","UA4","UA5","PD1","PD2","PD3","PD4","COL11","COL12","COL13","COL14","COL21","COL22","COL23","COL24","GE1","GE2","GE3","GE4","ASS1","ASS2","ASS3","ASS4","FO1","FO2","FO3","FO4","PO1","PO2","PO3","PO4","HO1","HO2","HO3","HO4","binstress"
3,2,2,5,4,3,2,1,2,1,6,5,5,4,6,5,5,6,6,2,7,6,4,5,6,4,4,4,4,4,3,2,2,4,4,6,5,"LowStress"
5,6,3,6,7,5,6,7,7,4,2,3,6,7,7,7,7,4,4,4,4,4,4,4,7,7,7,2,7,7,7,7,7,7,7,7,7,"HighStress"
5,2,6,4,5,6,5,6,6,4,3,2,5,6,7,7,6,7,7,5,7,7,4,4,6,5,5,5,5,3,5,5,6,5,5,6,5,"HighStress"
3,4,4,3,4,3,4,6,4,3,6,6,5,4,5,5,6,6,5,1,6,6,4,6,6,4,4,2,5,5,5,4,6,4,6,5,7,"HighStress"
1,4,5,6,6,6,1,1,1,3,5,5,5,5,5,6,5,4,4,1,5,5,3,4,4,6,5,4,5,4,4,4,4,4,4,4,5,"HighStress"
3,6,6,6,6,5,2,1,4,5,6,6,5,6,6,6,6,5,7,4,6,6,2,6,5,5,5,6,6,5,6,6,6,5,5,4,5,"LowStress"
6,5,6,6,5,3,1,1,1,3,6,6,6,6,7,7,6,6,6,4,6,6,4,6,6,4,4,2,5,6,4,6,6,5,5,6,6,"HighStress"
3,3,3,3,3,3,2,3,3,2,4,3,4,5,6,6,6,6,7,5,7,6,5,6,6,5,6,6,6,6,5,6,6,5,5,5,5,"HighStress"
3,2,3,2,4,6,6,3,3,3,6,4,6,5,6,4,6,7,5,2,5,5,3,4,4,3,4,2,5,5,4,4,5,4,5,4,5,"HighStress"
4,4,3,5,4,4,3,2,3,2,5,5,6,5,5,5,6,6,6,4,5,4,2,4,4,5,4,4,5,6,4,2,5,5,6,5,5,"LowStress"
5,5,4,5,5,2,1,1,1,6,4,4,5,3,5,5,6,6,7,5,7,7,6,6,4,2,2,2,5,3,5,4,4,2,2,1,2,"LowStress"
7,7,7,7,7,7,7,4,3,5,3,2,2,4,4,1,3,7,3,1,5,4,3,3,4,7,7,4,3,5,2,1,1,1,3,4,4,"HighStress"
5,2,5,5,5,3,1,5,4,5,4,6,6,6,6,6,6,4,3,1,4,5,4,5,4,5,5,6,5,5,5,5,5,4,4,5,4,"HighStress"
1,2,2,4,6,5,4,2,2,4,2,3,3,4,5,6,4,6,5,2,6,6,5,4,4,4,3,3,2,2,4,4,4,6,6,6,5,"HighStress"
4,4,5,5,5,3,2,2,2,3,4,4,5,4,4,4,4,4,4,3,3,6,5,5,5,4,4,4,4,5,4,5,4,4,4,3,4,"LowStress"
1,2,3,5,5,2,1,1,2,5,6,6,7,5,6,6,6,7,7,4,7,6,4,5,6,5,5,4,5,6,6,5,6,6,4,6,6,"HighStress"
4,4,5,5,5,4,1,6,7,3,4,4,4,5,6,6,4,5,3,1,7,5,4,4,4,6,3,5,5,6,6,5,6,3,3,5,3,"HighStress"
4,3,3,4,3,6,4,2,2,5,4,5,5,6,6,6,4,6,6,3,6,6,4,5,5,5,6,5,6,5,6,5,6,5,5,6,6,"LowStress"
6,5,5,6,6,5,1,2,1,4,4,5,5,5,6,6,5,5,7,4,7,7,6,6,7,7,7,6,6,6,5,5,6,5,5,4,4,"HighStress"
5,4,6,6,6,4,3,2,2,5,6,6,7,5,6,6,5,6,7,2,7,6,4,5,5,6,5,4,6,6,6,5,5,7,6,5,7,"HighStress"
4,1,2,3,5,2,2,2,2,2,4,5,6,5,5,4,6,6,6,3,6,6,3,3,4,3,6,5,3,6,4,5,5,6,6,3,6,"HighStress"
4,2,4,5,5,4,2,3,1,6,5,4,5,6,6,6,6,6,6,4,7,5,4,4,5,4,4,4,6,6,4,7,7,7,7,6,7,"HighStress"
5,2,1,2,2,1,4,1,3,5,3,5,5,6,6,5,5,7,6,1,7,4,4,4,4,4,3,4,4,7,5,5,5,5,6,6,6,"LowStress"
4,4,3,4,5,1,1,1,1,7,4,5,5,4,6,6,4,7,5,1,7,7,2,4,4,5,4,5,6,5,6,7,7,1,1,6,7,"LowStress"
4,1,1,2,4,3,3,3,2,1,4,4,5,3,3,4,4,2,2,1,2,6,7,6,5,3,3,4,4,5,3,5,2,3,2,3,3,"HighStress"
5,4,5,3,6,5,4,5,5,5,5,4,4,5,5,5,5,5,4,4,5,6,3,4,6,3,4,4,6,6,6,6,6,4,5,5,4,"HighStress"
6,4,4,5,4,6,5,3,3,4,2,5,3,6,6,6,7,6,7,1,7,4,4,4,3,2,3,3,4,7,4,5,7,5,7,6,6,"LowStress"
4,1,4,1,3,4,1,1,1,4,6,7,7,7,7,7,6,4,4,4,7,7,7,7,7,1,3,7,7,3,6,2,4,5,4,6,6,"HighStress"
1,6,5,4,5,1,1,1,1,2,7,4,4,6,7,5,6,7,7,7,7,5,1,7,5,4,5,4,6,7,6,4,5,3,4,2,5,"HighStress"
3,4,6,6,4,6,2,3,2,2,5,3,3,7,7,5,5,7,5,1,7,6,3,6,5,4,6,3,6,5,5,5,6,4,5,6,4,"HighStress"
4,3,1,3,5,6,4,6,5,3,2,1,2,3,3,4,4,2,6,2,7,4,2,2,2,2,2,4,3,5,3,4,3,4,4,5,4,"HighStress"
4,5,2,3,4,3,3,2,2,5,5,5,6,5,6,6,5,6,7,2,7,6,5,5,6,5,6,1,6,7,6,6,6,5,5,5,5,"LowStress"
3,3,3,3,3,2,1,1,1,4,5,5,7,6,6,6,5,4,4,4,4,3,1,4,4,3,4,4,4,4,5,4,4,4,4,4,4,"HighStress"
2,2,2,2,4,4,2,2,3,2,6,1,7,4,4,4,5,3,2,4,4,4,5,3,3,2,4,4,3,2,2,2,2,6,4,2,2,"LowStress"
3,3,2,4,7,4,3,3,3,4,2,5,6,6,5,4,5,4,4,2,4,3,3,3,5,5,4,5,3,3,4,3,4,3,3,4,3,"HighStress"
2,2,3,4,4,3,5,2,2,2,6,5,6,4,5,5,5,5,7,3,7,5,2,3,3,4,4,3,5,4,5,5,5,4,3,6,6,"LowStress"
2,6,3,5,6,4,2,1,1,4,2,3,3,4,3,3,6,7,7,4,7,3,4,4,4,7,6,4,4,6,3,3,3,4,2,2,4,"HighStress"
4,4,5,4,5,6,2,2,2,6,6,4,5,4,4,4,4,5,4,1,5,5,4,4,5,4,4,4,5,4,3,3,5,4,4,4,4,"LowStress"
3,2,2,5,1,1,2,1,1,4,4,5,6,6,6,6,5,5,5,2,6,6,4,4,5,4,3,5,7,6,5,5,5,5,4,4,4,"LowStress"
4,3,6,5,5,2,1,1,1,4,6,6,6,6,7,6,7,7,6,3,7,4,3,3,6,5,5,5,6,7,6,5,5,5,5,6,6,"HighStress"
4,2,3,4,4,1,1,1,1,4,5,5,6,6,7,7,7,7,4,7,4,4,4,4,6,5,6,6,6,4,5,5,5,7,4,6,6,"HighStress"
5,2,5,5,5,2,4,3,4,4,4,2,1,5,6,5,4,7,6,4,6,7,6,6,6,6,5,5,5,6,4,5,5,3,3,4,4,"HighStress"
2,2,4,3,1,2,2,1,2,4,5,5,7,7,7,6,6,5,5,1,7,4,3,3,4,2,5,2,3,6,4,4,4,4,5,4,4,"HighStress"
5,5,6,6,5,2,2,1,1,5,6,5,5,4,5,5,7,7,6,1,6,5,3,3,4,3,4,5,5,4,5,5,5,5,5,6,5,"HighStress"
4,3,4,6,4,4,1,2,2,4,2,4,2,5,3,6,5,7,7,1,7,7,5,5,5,6,6,3,4,1,3,2,3,3,4,2,3,"HighStress"
4,4,3,6,6,3,4,2,3,4,6,5,7,6,6,6,5,2,4,1,4,6,3,3,4,6,5,4,6,5,5,3,3,5,4,6,5,"HighStress"
3,2,2,3,4,2,1,1,1,2,5,6,7,7,7,7,4,7,5,5,7,5,1,1,7,4,3,4,6,5,5,6,7,7,5,7,7,"HighStress"
1,1,3,3,6,7,3,2,2,1,3,1,5,6,3,3,7,5,7,7,7,5,4,5,3,1,3,1,5,5,5,1,3,4,4,2,3,"LowStress"
2,2,5,5,6,6,4,2,2,4,7,7,7,6,7,7,7,7,6,7,7,5,5,5,5,5,4,4,5,6,6,4,6,5,5,4,5,"HighStress"
6,2,2,3,2,4,3,3,3,2,2,2,4,6,6,6,5,5,3,6,6,6,5,5,5,2,2,6,3,3,3,3,3,4,4,6,4,"HighStress"
4,1,1,6,4,7,6,2,2,7,6,6,5,4,5,5,4,6,6,1,7,6,5,5,3,1,1,7,4,7,4,5,5,3,4,2,4,"HighStress"
5,2,3,3,5,4,1,3,1,3,3,3,3,3,3,5,5,7,7,5,7,6,5,6,6,6,5,5,7,5,5,4,5,3,4,3,4,"LowStress"
3,5,4,5,5,6,6,5,5,2,4,5,5,6,6,6,6,6,7,1,7,7,5,6,7,5,4,5,6,5,6,4,5,5,5,5,5,"HighStress"
3,5,5,5,5,5,2,2,3,5,5,5,5,6,6,6,5,6,6,3,6,6,5,5,5,6,5,5,5,5,5,4,5,5,5,6,5,"HighStress"
4,6,6,5,5,2,2,2,1,1,6,7,6,5,7,5,5,7,6,5,7,6,2,4,6,5,6,3,5,4,5,4,5,5,5,4,5,"LowStress"
3,5,5,5,6,2,2,3,3,4,5,6,6,5,6,6,6,5,5,3,7,6,4,5,5,5,7,5,6,6,6,6,6,7,7,5,7,"HighStress"
3,2,3,5,5,4,6,5,1,4,5,4,7,4,6,5,5,4,5,2,7,4,3,4,5,5,4,4,4,5,4,5,7,4,6,5,4,"HighStress"
1,2,1,4,3,6,2,1,1,2,2,2,3,5,6,5,6,4,4,6,5,5,3,4,2,3,3,2,5,3,5,3,5,3,3,3,3,"HighStress"
2,5,2,4,6,5,3,5,4,5,6,3,4,5,4,5,4,6,4,1,5,6,5,3,4,4,1,2,4,4,3,4,4,3,3,6,5,"HighStress"
1,2,4,6,6,4,2,2,2,5,6,6,5,5,5,5,6,6,5,7,6,5,2,4,4,6,6,6,7,7,6,5,4,5,5,4,6,"LowStress"
4,3,5,4,3,4,3,2,3,3,4,4,3,3,4,3,3,2,3,1,3,4,4,6,4,5,5,4,5,3,3,3,4,4,4,5,4,"LowStress"
3,5,5,5,6,4,3,2,2,3,5,4,4,4,5,3,5,6,3,4,6,5,3,5,5,5,4,3,5,4,3,4,5,5,4,4,4,"LowStress"
4,2,4,4,4,3,3,2,2,5,5,3,4,5,4,3,4,4,3,3,3,6,3,6,5,5,4,3,5,5,4,4,4,3,3,3,5,"HighStress"
5,4,3,2,5,3,4,2,3,3,5,6,6,6,6,7,6,7,7,6,7,4,3,4,5,5,4,5,5,6,5,5,6,6,5,5,6,"HighStress"
2,3,2,2,4,2,2,2,2,2,2,2,2,5,4,4,4,6,6,2,6,6,2,4,4,5,2,2,4,4,4,4,4,3,2,4,2,"HighStress"
2,2,3,6,4,2,2,3,3,3,3,4,4,5,6,6,6,6,6,6,6,5,5,5,4,6,6,4,6,4,6,5,6,5,5,4,5,"LowStress"
4,4,4,5,6,5,5,4,3,4,5,3,2,3,5,6,4,7,7,3,7,3,3,4,4,6,6,5,5,4,3,4,3,5,4,7,5,"HighStress"
4,5,3,5,3,5,1,3,2,3,4,5,4,6,4,5,4,5,6,4,5,6,4,3,3,4,5,6,3,5,4,6,5,4,5,5,6,"HighStress"
2,3,3,3,4,3,2,1,1,1,5,5,3,5,7,7,7,3,3,4,6,5,4,4,5,2,2,1,4,2,4,3,2,4,3,3,3,"HighStress"
4,1,2,2,3,3,3,3,2,3,4,5,5,5,5,4,5,6,2,1,6,5,2,4,4,2,2,2,2,6,5,5,4,4,5,5,4,"LowStress"
3,3,6,6,2,2,2,2,2,5,6,6,6,5,5,6,5,3,3,7,4,6,5,5,4,6,6,4,4,5,4,4,5,6,5,5,6,"LowStress"
5,5,3,5,5,3,2,2,2,3,3,5,3,5,4,4,4,2,2,1,2,6,5,5,4,6,6,4,5,6,4,5,4,5,3,3,4,"HighStress"
4,5,4,3,4,5,4,3,2,1,5,6,4,5,5,4,4,3,2,2,3,5,5,5,5,7,4,4,5,3,5,2,5,5,6,6,6,"HighStress"
4,3,6,4,6,3,2,3,2,4,4,6,6,6,6,6,4,6,6,3,6,6,3,2,5,6,6,5,6,6,3,6,6,4,5,4,4,"LowStress"
5,3,5,6,4,5,6,6,6,5,5,6,6,7,7,6,7,5,4,5,4,5,4,5,5,4,5,3,5,5,6,4,5,7,7,7,7,"HighStress"
6,2,6,7,4,5,2,1,2,6,7,7,7,6,6,6,6,6,6,4,6,7,2,7,6,5,7,4,5,6,6,7,7,6,4,4,4,"LowStress"
3,5,5,4,6,4,2,3,4,4,6,2,5,5,6,6,4,7,7,1,7,6,5,4,4,4,5,5,4,5,6,3,3,5,5,6,6,"HighStress"
1,4,3,3,5,2,2,1,2,3,6,6,7,4,7,7,7,7,7,1,7,6,5,5,6,4,4,3,3,4,4,3,3,4,5,3,4,"LowStress"
5,2,2,5,5,5,1,1,1,1,3,4,5,6,6,6,6,4,4,4,7,5,2,4,5,2,3,6,4,6,5,1,3,5,5,6,6,"LowStress"
6,2,1,1,2,1,4,1,1,6,4,4,5,6,7,5,7,1,7,7,7,5,2,2,5,1,1,6,4,7,4,7,5,5,5,4,5,"HighStress"
4,2,5,6,5,4,1,2,1,1,6,6,6,7,6,7,6,7,7,1,7,5,4,7,7,6,4,4,7,7,5,7,5,7,5,1,7,"HighStress"
4,3,3,5,3,5,5,5,4,5,3,4,3,6,5,6,4,4,4,4,5,3,3,4,3,3,4,5,4,4,4,3,4,6,5,3,5,"HighStress"
4,3,3,6,5,4,3,1,1,1,5,5,7,4,3,7,7,6,6,7,7,5,4,6,6,3,3,7,5,5,4,2,2,5,2,4,4,"HighStress"
1,5,5,6,4,3,1,1,1,4,5,5,5,6,7,6,4,7,7,7,7,5,1,2,2,5,4,4,5,7,6,6,5,5,6,6,7,"LowStress"
4,3,5,5,6,5,5,6,5,2,5,2,2,6,6,5,5,1,1,3,3,4,4,4,5,4,5,5,4,4,4,2,4,4,4,4,4,"HighStress"
2,3,3,7,3,4,1,1,1,4,5,6,6,6,6,5,6,7,7,4,7,7,6,6,6,1,2,4,4,4,5,4,5,4,4,4,4,"HighStress"
5,6,7,2,6,6,6,2,4,7,4,6,6,7,6,7,6,6,6,6,6,5,5,5,6,6,7,6,7,6,7,6,7,5,4,5,6,"LowStress"
3,4,3,4,3,5,5,4,5,3,5,3,4,4,6,6,4,4,3,2,3,5,5,5,4,3,3,2,3,5,4,3,3,3,4,4,4,"LowStress"
4,2,2,2,2,6,4,4,4,3,6,2,3,3,3,3,4,7,4,6,6,2,5,5,2,4,6,4,4,5,4,5,5,5,3,4,5,"HighStress"
4,3,3,5,4,3,2,2,1,3,5,6,6,5,6,6,5,7,7,5,7,4,3,4,5,6,7,5,6,6,5,3,5,4,3,5,4,"LowStress"
4,2,2,4,3,2,1,1,1,4,7,7,6,7,7,7,7,7,7,1,7,7,5,7,6,6,6,1,7,7,6,7,6,7,6,5,6,"LowStress"
4,2,2,3,4,4,4,4,2,2,4,3,5,6,5,3,5,6,4,3,5,3,4,3,4,3,3,4,3,4,5,2,3,5,3,4,4,"HighStress"
4,2,3,3,4,4,2,1,1,3,4,5,5,7,5,6,5,4,4,3,6,4,4,3,3,4,5,4,6,4,5,3,4,2,4,4,4,"HighStress"
1,2,5,4,6,4,3,4,4,5,3,3,4,4,5,4,4,5,5,5,6,5,4,4,4,4,4,4,4,3,3,4,5,4,4,4,4,"HighStress"
2,4,3,3,4,6,2,2,2,5,6,5,4,5,5,6,6,6,6,2,6,5,4,5,5,5,3,5,4,6,6,6,6,5,4,5,4,"HighStress"
5,3,5,5,5,2,2,2,2,4,5,5,4,5,5,5,5,5,4,2,6,5,5,5,6,5,5,5,4,5,4,5,5,5,4,5,4,"LowStress"
4,2,2,3,3,6,6,2,2,1,4,3,2,4,2,5,5,1,2,2,1,2,5,5,5,1,2,6,2,3,1,1,1,3,3,3,3,"HighStress"
3,5,6,6,6,3,2,2,3,2,6,6,6,6,6,6,6,6,6,3,6,6,3,6,5,3,5,3,6,6,5,3,5,5,6,6,6,"LowStress"
6,6,6,6,6,6,2,3,2,6,6,6,6,7,7,7,7,7,6,5,6,6,2,5,6,7,7,5,5,6,6,6,6,6,6,4,4,"HighStress"
5,4,5,5,4,5,2,2,2,4,4,5,5,4,5,4,5,2,2,1,3,5,5,5,5,3,3,4,5,6,5,4,4,2,4,3,4,"HighStress"
2,2,1,1,1,3,3,3,3,4,4,3,5,4,4,4,4,2,2,2,2,4,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,"HighStress"
7,1,1,4,7,6,3,5,2,1,1,3,5,5,6,5,6,4,1,1,1,1,1,4,4,1,1,1,3,1,5,1,1,7,7,7,7,"LowStress"
3,4,6,5,3,4,2,1,1,4,6,4,5,6,6,6,6,7,6,6,7,6,2,4,3,4,4,4,6,4,6,7,6,5,4,3,5,"HighStress"
4,2,3,1,4,7,4,4,4,1,4,5,5,4,4,6,6,7,5,7,7,4,4,4,4,7,7,4,6,4,6,4,6,5,5,4,4,"HighStress"
5,4,4,7,7,4,2,4,3,3,4,4,4,6,5,5,6,7,7,2,7,6,5,4,4,5,3,7,3,6,3,5,3,4,4,4,4,"HighStress"
1,5,1,2,1,1,1,1,1,2,4,6,3,7,7,3,7,7,7,1,7,4,3,2,5,7,7,5,6,7,5,2,4,4,3,6,5,"HighStress"
4,3,5,6,4,3,2,2,1,2,5,5,5,4,6,6,7,7,7,6,7,6,3,6,5,5,5,5,5,6,6,5,7,6,6,5,6,"HighStress"
4,4,5,5,3,5,4,4,3,4,5,5,5,6,6,6,5,5,4,2,6,4,4,4,4,4,4,2,4,5,5,5,5,5,5,5,5,"HighStress"
5,6,7,4,4,6,6,6,5,4,1,3,3,3,6,5,6,5,4,2,5,5,3,6,5,3,3,4,3,5,4,6,6,1,1,2,3,"HighStress"
2,2,2,1,2,1,6,2,2,3,6,6,6,5,5,6,6,5,6,1,7,3,2,4,4,3,1,2,4,1,2,1,1,7,5,7,7,"HighStress"
2,3,3,3,3,6,4,2,2,4,5,4,3,5,5,5,5,6,5,2,6,5,4,4,4,2,2,5,4,3,3,4,6,3,3,4,4,"LowStress"
2,2,2,4,2,2,5,1,1,2,5,4,6,4,6,3,5,1,6,1,7,3,5,4,4,4,1,4,2,6,5,2,3,6,5,5,7,"HighStress"
2,2,2,3,2,2,6,3,3,2,4,4,3,4,4,4,4,1,4,1,4,3,4,4,4,5,6,2,4,2,2,2,2,4,4,3,4,"HighStress"
3,2,4,3,3,4,3,3,2,4,5,5,4,6,5,6,5,4,6,4,6,5,4,3,3,4,4,2,5,3,5,3,5,5,5,6,5,"LowStress"
5,2,3,4,2,3,2,2,2,3,5,4,5,5,4,4,4,5,5,2,5,5,4,4,5,3,3,4,5,3,5,3,3,5,4,5,5,"HighStress"
4,3,3,4,2,4,3,4,3,4,3,4,5,3,4,4,3,4,4,1,4,4,3,4,5,1,1,4,3,2,4,2,4,4,3,4,5,"HighStress"
3,3,4,3,3,2,2,2,2,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,3,3,4,4,5,4,5,5,4,4,4,4,"HighStress"
4,2,4,3,3,4,3,2,2,6,5,5,6,5,5,5,3,4,4,2,2,4,3,3,4,3,4,5,4,6,3,4,5,4,3,4,3,"LowStress"
2,2,3,4,2,4,3,3,2,2,5,5,5,6,5,4,6,6,5,1,6,6,2,2,3,3,3,4,6,4,5,5,6,5,5,5,5,"HighStress"
5,3,3,3,3,6,4,4,4,4,6,4,5,5,5,5,5,6,5,2,6,6,4,4,5,4,4,4,5,6,4,5,5,6,5,6,6,"HighStress"
4,3,2,4,3,2,1,2,2,4,5,6,5,7,7,5,5,6,7,3,7,5,3,3,5,4,3,3,6,4,6,5,5,6,6,6,6,"HighStress"
1,4,5,4,4,5,4,6,3,4,5,5,4,4,6,5,4,3,5,1,7,4,3,3,6,3,4,3,6,5,3,5,5,6,4,4,4,"LowStress"
4,4,4,4,4,1,1,1,1,4,5,5,5,6,7,7,7,6,5,5,7,6,3,5,5,5,5,5,5,5,7,4,7,5,5,5,5,"HighStress"
7,2,4,7,2,7,4,7,3,7,7,2,6,6,6,6,7,7,3,1,5,7,6,7,7,2,2,6,5,2,4,2,5,2,6,6,4,"LowStress"
3,1,1,7,5,3,4,5,3,2,2,2,2,2,6,4,5,7,7,1,7,3,2,3,4,2,2,5,2,3,1,3,4,3,3,3,3,"HighStress"
3,5,1,4,4,4,3,1,1,6,2,6,4,6,6,6,6,2,2,6,2,6,6,6,6,5,2,4,3,4,4,2,6,6,6,6,6,"HighStress"
7,1,1,3,3,6,6,4,4,1,2,1,1,7,6,6,6,4,1,1,3,3,4,4,4,1,2,2,4,3,4,4,5,3,3,3,3,"LowStress"
5,3,5,3,4,7,3,4,6,2,2,5,2,7,7,7,7,4,4,1,4,5,3,3,2,2,3,6,2,6,2,3,3,2,2,2,2,"LowStress"
6,5,2,3,6,2,2,2,2,2,6,6,6,6,6,5,5,6,6,2,6,5,2,5,5,5,5,3,4,2,6,2,5,6,6,6,7,"HighStress"
4,5,5,4,6,6,3,3,2,5,5,4,5,6,6,6,5,5,4,3,5,6,5,5,5,5,4,4,5,4,4,3,3,6,5,5,6,"LowStress"
3,2,5,5,6,7,4,4,3,6,4,4,4,5,5,5,4,6,5,3,4,5,4,4,4,4,3,4,4,4,4,5,4,3,3,2,3,"LowStress"
5,3,3,4,4,6,4,2,2,5,5,5,5,5,5,5,6,4,4,1,3,4,5,5,5,6,5,7,5,6,5,5,5,6,5,4,5,"LowStress"
2,2,2,2,2,5,4,2,2,2,3,3,2,3,5,4,3,6,6,2,6,4,3,4,4,3,2,6,3,3,3,3,3,3,4,5,5,"LowStress"
5,2,2,3,5,4,5,4,4,4,3,3,4,3,3,3,3,6,5,2,6,4,4,4,3,2,2,2,3,6,4,5,4,3,3,5,5,"HighStress"
2,6,4,4,7,6,3,1,3,5,7,7,7,7,7,7,7,7,7,1,7,5,1,4,5,3,4,4,6,7,5,5,7,7,6,6,7,"LowStress"
2,4,3,2,1,3,4,2,3,3,2,4,3,2,3,4,2,2,3,2,3,4,3,2,3,3,2,3,2,3,2,3,2,2,3,2,4,"LowStress"
3,2,3,5,4,3,4,2,4,2,4,2,5,3,2,5,4,2,4,2,4,3,2,5,4,2,5,3,4,3,2,4,3,2,4,2,3,"HighStress"
4,3,4,3,3,3,4,3,2,1,2,3,2,3,2,2,4,2,3,4,3,2,4,3,3,2,3,2,4,3,2,3,2,2,3,4,3,"LowStress"
6,4,5,6,5,5,4,3,5,2,4,4,5,6,6,6,5,7,7,1,7,6,3,3,5,5,3,3,5,2,6,2,5,5,5,6,7,"HighStress"
4,3,3,5,5,2,1,2,1,5,5,5,5,5,7,6,6,6,7,3,7,4,5,5,5,2,6,5,5,7,5,6,5,5,4,4,5,"LowStress"
3,4,4,5,4,2,1,2,2,6,6,6,4,6,6,6,4,4,2,4,2,4,2,4,3,4,2,2,4,2,4,1,4,4,4,5,6,"HighStress"
4,4,4,3,3,6,5,5,2,4,3,3,3,3,4,4,7,7,7,1,7,5,5,6,5,5,4,4,4,4,4,4,5,3,3,6,4,"LowStress"
7,6,4,2,7,3,4,6,3,2,2,1,6,3,1,3,2,1,1,2,1,3,3,3,3,2,3,1,3,1,3,2,3,3,3,3,5,"LowStress"
2,3,1,5,5,3,2,1,3,5,5,4,3,5,3,5,4,6,6,4,5,5,4,3,5,6,5,3,4,5,3,4,4,4,3,4,5,"HighStress"
1,2,6,6,6,7,7,2,2,2,2,2,2,2,3,5,5,3,6,1,6,6,6,6,6,6,4,2,7,2,3,5,7,1,2,2,4,"LowStress"
4,3,3,3,7,6,3,2,3,5,6,6,6,5,5,7,4,6,5,4,4,6,5,5,5,6,4,5,6,4,4,5,6,5,5,6,6,"HighStress"
